Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, H., Zhu, L., Dai, Z., Gong, H., Guo, T., Guo, G., Wang, J., Teatini, P.","57217150463; 57202316432; 7201387600; 35240287700; 57223837640; 26039111000; 57226556208; 6603863620","Spatiotemporal modeling of land subsidence using a geographically weighted deep learning method based on PS-InSAR",2021,"Science of the Total Environment",799,"", 149244,,,,,10.1016/j.scitotenv.2021.149244,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111930885&partnerID=40&md5=caa33d428edf051e9c2dd64562b84adb",Article,Final,"",Scopus,2-s2.0-85111930885
"Wang, J., Teng, D., He, X., Qin, L., Yang, X., Lv, G.","57221359799; 57200200494; 55902438600; 55362093000; 57214946421; 7003850998","Spatial non-stationarity effects of driving factors on soil respiration in an arid desert region",2021,"Catena",207,"", 105617,,,,,10.1016/j.catena.2021.105617,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111320516&partnerID=40&md5=6cbd25bd9392bc57992b4ccbeb4a392d",Article,Final,"",Scopus,2-s2.0-85111320516
"Lima, G.V.B.D.A., Carvalho, A.C.G.D., Moreira, F.G.P., Bassalo, G.H.M.","57226149760; 57226164782; 57191255663; 57226132583","Real Estate Tendencies in High-Rise Residential Buildings: Case Study in Belém, Amazonia, Brazil",2021,"Journal of Urban Planning and Development",147,"4", 05021033,,,,,10.1061/(ASCE)UP.1943-5444.0000748,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110632482&partnerID=40&md5=fc4da2d8691590174ec6334876b36f38",Article,Final,"",Scopus,2-s2.0-85110632482
"Wu, J., Li, X., Luo, Y., Zhang, D.","35265605900; 57225179920; 57214665646; 57217027547","Spatiotemporal effects of urban sprawl on habitat quality in the Pearl River Delta from 1990 to 2018",2021,"Scientific Reports",11,"1", 13981,,,,,10.1038/s41598-021-92916-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109366941&partnerID=40&md5=fc22a3d84b5a46abf4543303b5d322b2",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85109366941
"Tigabu, S., Liyew, A.M., Geremew, B.M.","57224986824; 57215665090; 57207316944","Modeling spatial determinates of teenage pregnancy in Ethiopia; geographically weighted regression",2021,"BMC Women's Health",21,"1", 254,,,,,10.1186/s12905-021-01400-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108838438&partnerID=40&md5=cedb661aa4b2be33e23706f5b2113f31",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85108838438
"Sacco, C., Falzetti, P.","57224443754; 55617839100","Spatial variations of school-level determinants of reading achievement in Italy",2021,"Large-Scale Assessments in Education",9,"1", 12,,,,,10.1186/s40536-021-00105-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85107576435&partnerID=40&md5=d4e0d2a093f78de68ab09ec4cb98b678",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85107576435
"Gao, F., languille, C., karzazi, K., Guhl, M., Boukebous, B., Deguen, S.","56645409800; 57223673086; 57223689311; 57223704206; 57197766692; 6506306535","Efficiency of fine scale and spatial regression in modelling associations between healthcare service spatial accessibility and their utilization",2021,"International Journal of Health Geographics",20,"1", 22,,,,,10.1186/s12942-021-00276-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85106039233&partnerID=40&md5=b8ea32b15f7ea9cb361172594c71e58c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106039233
"Kurji, J., Thickstun, C., Bulcha, G., Taljaard, M., Li, Z., Kulkarni, M.A.","55237447800; 57211769971; 57207757489; 57221653809; 57204111089; 14058187000","Spatial variability in factors influencing maternal health service use in Jimma Zone, Ethiopia: a geographically-weighted regression analysis",2021,"BMC Health Services Research",21,"1", 454,,,,,10.1186/s12913-021-06379-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105706737&partnerID=40&md5=c1c49962b317d39e92b54324e7a43e21",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105706737
"Zhang, H., Liu, Y., Chen, F., Mi, B., Zeng, L., Pei, L.","57217867634; 57218345219; 57199294787; 56304646100; 7401904324; 55626856800","The effect of sociodemographic factors on COVID-19 incidence of 342 cities in China: a geographically weighted regression model analysis",2021,"BMC Infectious Diseases",21,"1", 428,,,,,10.1186/s12879-021-06128-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105436876&partnerID=40&md5=cec84e159d60fc547a4a1798c6476744",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85105436876
"Yao, Y., Shi, W., Zhang, A., Liu, Z., Luo, S.","57219932328; 7402664815; 55791509100; 57205742231; 57212165564","Examining the diffusion of coronavirus disease 2019 cases in a metropolis: a space syntax approach",2021,"International Journal of Health Geographics",20,"1", 17,,,,1,10.1186/s12942-021-00270-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104942954&partnerID=40&md5=9950d1becca817ec030e4af675604a50",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104942954
"Middya, A.I., Roy, S.","57193557957; 55362070500","Geographically varying relationships of COVID-19 mortality with different factors in India",2021,"Scientific Reports",11,"1", 7890,,,,1,10.1038/s41598-021-86987-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104235349&partnerID=40&md5=3b0c9aff6fd877bc86213725b17d781a",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104235349
"Quiñones, S., Goyal, A., Ahmed, Z.U.","57216615016; 57222629188; 35591393200","Geographically weighted machine learning model for untangling spatial heterogeneity of type 2 diabetes mellitus (T2D) prevalence in the USA",2021,"Scientific Reports",11,"1", 6955,,,,,10.1038/s41598-021-85381-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103529076&partnerID=40&md5=46697624973c4fa8d6f3483e73f1e73e",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85103529076
"Gonçalves, D.R.P., Mishra, U., Wills, S., Gautam, S.","57190137940; 24399246600; 16053979500; 57193855653","Regional environmental controllers influence continental scale soil carbon stocks and future carbon dynamics",2021,"Scientific Reports",11,"1", 6474,,,,,10.1038/s41598-021-85992-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102791155&partnerID=40&md5=a98fe75c2c90acdfc32df5efc57e9c75",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102791155
"Morera, A., Martínez de Aragón, J., Bonet, J.A., Liang, J., de-Miguel, S.","57222385390; 22941485000; 35578910900; 12752815000; 17343492500","Performance of statistical and machine learning-based methods for predicting biogeographical patterns of fungal productivity in forest ecosystems",2021,"Forest Ecosystems",8,"1", 21,,,,1,10.1186/s40663-021-00297-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102570180&partnerID=40&md5=0c8d89858b81b1a9168c1b34de61dede",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85102570180
"Maheshwarkar, P., Sunder Raman, R.","57221464238; 22942289500","Population exposure across central India to PM2.5 derived using remotely sensed products in a three-stage statistical model",2021,"Scientific Reports",11,"1", 544,,,,,10.1038/s41598-020-79229-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099180135&partnerID=40&md5=f0dc7b79246529b22dd5a1ea1a6756c0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85099180135
"Sun, Y., Liu, S., Liu, Y., Dong, Y., Li, M., An, Y., Shi, F., Beazley, R.","57206700823; 8664704400; 57218414980; 35239880300; 57218087723; 57205333684; 57208602369; 35271244100","Effects of the interaction among climate, terrain and human activities on biodiversity on the Qinghai-Tibet Plateau",2021,"Science of the Total Environment",794,"", 148497,,,,,10.1016/j.scitotenv.2021.148497,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108879348&partnerID=40&md5=b9917ec726284d53c3aec0a1925143b1",Article,Final,"",Scopus,2-s2.0-85108879348
